Number,Type,Name,Registration Point,Filename
1,palette,palette,"(0, 0)",
2,bitmap,item_wall1,"(48, 221)",
3,bitmap,item_wall2,"(30, 88)",
4,bitmap,item_flower1,"(19, 94)",
5,bitmap,item_pillar1,"(38, 95)",
6,bitmap,item_vent2,"(9, 84)",
7,bitmap,item_vent1,"(9, 84)",
8,bitmap,item_statue1,"(58, 141)",
9,bitmap,item_statue2,"(64, 134)",
10,bitmap,item_statue3,"(86, 76)",
11,bitmap,item_statue4,"(33, 103)",
12,bitmap,room,"(981, -96)",
13,bitmap,mask,"(981, -96)",
14,palette,pal_npc_66_,"(0, 0)",
15,bitmap,door_1,"(36, 70)",
16,bitmap,button_2,"(120, 39)",
17,bitmap,door_2,"(120, 39)",
18,script,setupRoom,"(0, 0)",
19,bitmap,item_statue5,"(41, 74)",
20,bitmap,obj_waterfall_1,"(63, 203)",
21,bitmap,obj_waterfall_2,"(63, 203)",
22,bitmap,obj_waterfall_3,"(64, 204)",
23,bitmap,obj_waterfall_4,"(63, 204)",
24,bitmap,obj_waterfall_5,"(65, 204)",
25,bitmap,obj_waterfall_6,"(64, 205)",
26,bitmap,obj_pool_1,"(134, -146)",
27,bitmap,obj_pool_2,"(134, -146)",
28,bitmap,obj_pool_3,"(134, -146)",
29,bitmap,obj_pool_4,"(134, -146)",
30,bitmap,obj_waves_1,"(126, -158)",
31,bitmap,obj_waves_2,"(93, -159)",
32,bitmap,obj_waves_3,"(98, -156)",
33,bitmap,obj_waves_4,"(94, -159)",
34,bitmap,obj_waterfall1,"(223, -183)",
35,bitmap,obj_waterfall2,"(223, -183)",
36,bitmap,obj_waterfall3,"(224, -182)",
37,bitmap,obj_waterfall4,"(223, -182)",
38,bitmap,obj_waterfall5,"(225, -182)",
39,bitmap,obj_waterfall6,"(224, -181)",
40,bitmap,obj_underwater_1,"(97, -184)",
41,bitmap,obj_floater2_1,"(14, 96)",
42,bitmap,obj_floater2_2,"(15, 98)",
43,bitmap,obj_floater2_3,"(16, 100)",
44,bitmap,obj_floater2_4,"(12, 88)",
45,bitmap,obj_floater2_5,"(16, 93)",
46,bitmap,obj_floater2_6,"(17, 95)",
47,bitmap,obj_underwater_2,"(120, -168)",
48,bitmap,obj_leaf_1,"(5, 123)",
49,bitmap,obj_leaf_2,"(4, 118)",
50,bitmap,obj_leaf_3,"(0, 113)",
51,bitmap,obj_leaf_4,"(-3, 108)",
