Number,Type,Name,Registration Point,Filename
1,palette,palette,"(0, 0)",
2,script,setupRoom,"(0, 0)",
3,bitmap,item_statue1,"(131, 3)",
4,bitmap,item_statue2,"(44, 97)",
5,bitmap,item_statue3,"(72, 25)",
6,bitmap,item_statue4,"(78, 81)",
7,bitmap,item_flower4,"(36, 49)",
8,bitmap,item_flower3,"(63, 28)",
9,bitmap,item_flower2,"(36, 48)",
10,bitmap,item_flower1,"(63, 27)",
11,bitmap,item_bush,"(104, 85)",
12,bitmap,item_tree7,"(99, 198)",
14,bitmap,item_tree5,"(54, 184)",
15,bitmap,item_tree4,"(34, 110)",
16,bitmap,item_tree3,"(87, 195)",
17,bitmap,item_tree2,"(92, 145)",
18,bitmap,item_tree1,"(87, 170)",
19,bitmap,room,"(1104, -47)",
20,bitmap,mask,"(1104, -78)",
21,bitmap,item_tree10,"(90, 61)",
22,bitmap,door_1,"(25, 15)",
23,bitmap,button_1,"(25, 15)",
24,bitmap,door_2,"(11, 74)",
25,bitmap,button_2,"(11, 74)",
26,palette,pal_npc_34_,"(0, 0)",
27,bitmap,npc_34_1,"(54, 139)",
28,bitmap,npc_34_2,"(54, 139)",
29,bitmap,npc_34_3,"(54, 139)",
30,bitmap,npc_34_4,"(54, 139)",
31,bitmap,npc_34_5,"(54, 139)",
32,bitmap,npc_34_6,"(54, 139)",
33,bitmap,npc_34_7,"(54, 139)",
34,bitmap,npc_34_8,"(54, 139)",
35,bitmap,npc_34_9,"(54, 139)",
36,bitmap,npc_34_10,"(54, 139)",
37,bitmap,npc_34_11,"(54, 139)",
38,bitmap,npc_34_12,"(54, 139)",
39,bitmap,npc_34_13,"(54, 139)",
40,bitmap,npc_34_14,"(54, 139)",
41,palette,pal_npc_32_,"(0, 0)",
42,bitmap,npc_32_1,"(39, 65)",
43,bitmap,npc_32_2,"(39, 65)",
44,bitmap,npc_32_3,"(39, 65)",
45,bitmap,npc_32_4,"(39, 65)",
46,bitmap,npc_32_5,"(39, 65)",
47,bitmap,npc_32_6,"(39, 65)",
48,bitmap,npc_32_7,"(39, 65)",
49,bitmap,npc_32_8,"(39, 65)",
50,bitmap,npc_32_9,"(39, 65)",
51,bitmap,npc_32_10,"(39, 65)",
52,bitmap,npc_32_11,"(39, 65)",
53,bitmap,npc_32_12,"(39, 65)",
54,bitmap,npc_32_13,"(39, 65)",
55,bitmap,obj_flies_1,"(-231, -47)",
56,bitmap,obj_flies_2,"(-236, -44)",
57,bitmap,obj_flies_3,"(-237, -38)",
58,bitmap,obj_flies_4,"(-242, -42)",
59,bitmap,obj_flies_5,"(-243, -54)",
60,bitmap,obj_leaf_1,"(1, 210)",
61,bitmap,obj_leaf_2,"(0, 205)",
62,bitmap,obj_leaf_3,"(-4, 200)",
63,bitmap,obj_leaf_4,"(-7, 195)",
64,bitmap,obj_leaf_5,"(-10, 189)",
65,bitmap,obj_leaf_6,"(-12, 181)",
66,bitmap,obj_leaf_7,"(-17, 175)",
67,bitmap,obj_leaf_8,"(-22, 171)",
68,bitmap,obj_leaf_9,"(-27, 164)",
69,bitmap,obj_leaf_10,"(-33, 152)",
70,bitmap,obj_leaf_11,"(-33, 153)",
71,bitmap,item_bush1,"(66, 89)",
